Station	Year	Month	Day	Hour	Minute	Precipitation	
rg_1	2000	01	01	00	00	0.000000
rg_1	2000	01	01	00	06	0.101000
rg_1	2000	01	01	00	12	0.101000
rg_1	2000	01	01	00	18	0.103000
rg_1	2000	01	01	00	24	0.103000
rg_1	2000	01	01	00	30	0.105000
rg_1	2000	01	01	00	36	0.105000
rg_1	2000	01	01	00	42	0.107000
rg_1	2000	01	01	00	47	0.107000
rg_1	2000	01	01	00	53	0.109000
rg_1	2000	01	01	00	59	0.109000
rg_1	2000	01	01	01	05	0.111000
rg_1	2000	01	01	01	12	0.111000
rg_1	2000	01	01	01	18	0.113000
rg_1	2000	01	01	01	24	0.113000
rg_1	2000	01	01	01	30	0.115000
rg_1	2000	01	01	01	36	0.115000
rg_1	2000	01	01	01	42	0.117000
rg_1	2000	01	01	01	48	0.117000
rg_1	2000	01	01	01	54	0.119000
rg_1	2000	01	01	02	00	0.119000
rg_1	2000	01	01	02	06	0.121000
rg_1	2000	01	01	02	12	0.121000
rg_1	2000	01	01	02	18	0.123000
rg_1	2000	01	01	02	24	0.123000
rg_1	2000	01	01	02	30	0.125000
rg_1	2000	01	01	02	36	0.125000
rg_1	2000	01	01	02	42	0.127000
rg_1	2000	01	01	02	48	0.127000
rg_1	2000	01	01	02	54	0.129000
rg_1	2000	01	01	03	00	0.129000
rg_1	2000	01	01	03	06	0.131000
rg_1	2000	01	01	03	12	0.131000
rg_1	2000	01	01	03	18	0.133000
rg_1	2000	01	01	03	24	0.133000
rg_1	2000	01	01	03	30	0.135000
rg_1	2000	01	01	03	36	0.135000
rg_1	2000	01	01	03	42	0.137000
rg_1	2000	01	01	03	48	0.137000
rg_1	2000	01	01	03	54	0.139000
rg_1	2000	01	01	04	00	0.139000
rg_1	2000	01	01	04	06	0.141000
rg_1	2000	01	01	04	12	0.143000
rg_1	2000	01	01	04	18	0.145000
rg_1	2000	01	01	04	24	0.147000
rg_1	2000	01	01	04	30	0.149000
rg_1	2000	01	01	04	35	0.151000
rg_1	2000	01	01	04	41	0.153000
rg_1	2000	01	01	04	47	0.155000
rg_1	2000	01	01	04	53	0.157000
rg_1	2000	01	01	04	59	0.159000
rg_1	2000	01	01	05	05	0.161000
rg_1	2000	01	01	05	11	0.163000
rg_1	2000	01	01	05	17	0.165000
rg_1	2000	01	01	05	23	0.167000
rg_1	2000	01	01	05	29	0.169000
rg_1	2000	01	01	05	35	0.171000
rg_1	2000	01	01	05	41	0.173000
rg_1	2000	01	01	05	47	0.175000
rg_1	2000	01	01	05	53	0.177000
rg_1	2000	01	01	05	59	0.179000
rg_1	2000	01	01	06	05	0.181000
rg_1	2000	01	01	06	11	0.183000
rg_1	2000	01	01	06	17	0.185000
rg_1	2000	01	01	06	23	0.187000
rg_1	2000	01	01	06	29	0.189000
rg_1	2000	01	01	06	35	0.191000
rg_1	2000	01	01	06	41	0.193000
rg_1	2000	01	01	06	47	0.195000
rg_1	2000	01	01	06	53	0.197000
rg_1	2000	01	01	06	59	0.199000
rg_1	2000	01	01	07	05	0.201000
rg_1	2000	01	01	07	11	0.203000
rg_1	2000	01	01	07	17	0.205000
rg_1	2000	01	01	07	23	0.207000
rg_1	2000	01	01	07	29	0.209000
rg_1	2000	01	01	07	35	0.211000
rg_1	2000	01	01	07	41	0.213000
rg_1	2000	01	01	07	47	0.215000
rg_1	2000	01	01	07	53	0.217000
rg_1	2000	01	01	07	59	0.219000
rg_1	2000	01	01	08	05	0.225000
rg_1	2000	01	01	08	11	0.235000
rg_1	2000	01	01	08	17	0.245000
rg_1	2000	01	01	08	23	0.255000
rg_1	2000	01	01	08	29	0.265000
rg_1	2000	01	01	08	35	0.275000
rg_1	2000	01	01	08	41	0.285000
rg_1	2000	01	01	08	47	0.295000
rg_1	2000	01	01	08	53	0.305000
rg_1	2000	01	01	08	59	0.315000
rg_1	2000	01	01	09	05	0.320000
rg_1	2000	01	01	09	11	0.320000
rg_1	2000	01	01	09	17	0.320000
rg_1	2000	01	01	09	23	0.320000
rg_1	2000	01	01	09	29	0.320000
rg_1	2000	01	01	09	35	0.328000
rg_1	2000	01	01	09	41	0.344000
rg_1	2000	01	01	09	47	0.360000
rg_1	2000	01	01	09	53	0.376000
rg_1	2000	01	01	09	59	0.392000
rg_1	2000	01	01	10	05	0.412000
rg_1	2000	01	01	10	11	0.436000
rg_1	2000	01	01	10	17	0.460000
rg_1	2000	01	01	10	23	0.484000
rg_1	2000	01	01	10	29	0.508000
rg_1	2000	01	01	10	35	0.540000
rg_1	2000	01	01	10	41	0.580000
rg_1	2000	01	01	10	47	0.620000
rg_1	2000	01	01	10	53	0.660000
rg_1	2000	01	01	10	59	0.700000
rg_1	2000	01	01	11	05	0.768000
rg_1	2000	01	01	11	11	0.864000
rg_1	2000	01	01	11	17	0.960000
rg_1	2000	01	01	11	23	1.056000
rg_1	2000	01	01	11	29	1.152000
rg_1	2000	01	01	11	35	2.384000
rg_1	2000	01	01	11	41	4.752000
rg_1	2000	01	01	11	47	7.643000
rg_1	2000	01	01	11	53	13.707000
rg_1	2000	01	01	11	59	9.514000
rg_1	2000	01	01	12	05	1.896000
rg_1	2000	01	01	12	11	1.668000
rg_1	2000	01	01	12	17	1.440000
rg_1	2000	01	01	12	23	1.212000
rg_1	2000	01	01	12	29	0.984000
rg_1	2000	01	01	12	35	0.844000
rg_1	2000	01	01	12	41	0.792000
rg_1	2000	01	01	12	47	0.740000
rg_1	2000	01	01	12	53	0.688000
rg_1	2000	01	01	12	59	0.636000
rg_1	2000	01	01	13	05	0.596000
rg_1	2000	01	01	13	11	0.568000
rg_1	2000	01	01	13	17	0.540000
rg_1	2000	01	01	13	23	0.512000
rg_1	2000	01	01	13	29	0.484000
rg_1	2000	01	01	13	35	0.460000
rg_1	2000	01	01	13	41	0.440000
rg_1	2000	01	01	13	47	0.420000
rg_1	2000	01	01	13	53	0.400000
rg_1	2000	01	01	13	59	0.380000
rg_1	2000	01	01	14	05	0.367000
rg_1	2000	01	01	14	11	0.359000
rg_1	2000	01	01	14	17	0.353000
rg_1	2000	01	01	14	23	0.345000
rg_1	2000	01	01	14	29	0.339000
rg_1	2000	01	01	14	35	0.331000
rg_1	2000	01	01	14	41	0.325000
rg_1	2000	01	01	14	47	0.317000
rg_1	2000	01	01	14	53	0.311000
rg_1	2000	01	01	14	59	0.303000
rg_1	2000	01	01	15	05	0.297000
rg_1	2000	01	01	15	11	0.289000
rg_1	2000	01	01	15	17	0.283000
rg_1	2000	01	01	15	23	0.275000
rg_1	2000	01	01	15	29	0.269000
rg_1	2000	01	01	15	35	0.261000
rg_1	2000	01	01	15	41	0.255000
rg_1	2000	01	01	15	47	0.247000
rg_1	2000	01	01	15	53	0.241000
rg_1	2000	01	01	15	59	0.233000
rg_1	2000	01	01	16	05	0.229000
rg_1	2000	01	01	16	11	0.226000
rg_1	2000	01	01	16	17	0.224000
rg_1	2000	01	01	16	23	0.221000
rg_1	2000	01	01	16	29	0.219000
rg_1	2000	01	01	16	35	0.216000
rg_1	2000	01	01	16	41	0.214000
rg_1	2000	01	01	16	47	0.211000
rg_1	2000	01	01	16	53	0.209000
rg_1	2000	01	01	16	59	0.206000
rg_1	2000	01	01	17	05	0.204000
rg_1	2000	01	01	17	11	0.201000
rg_1	2000	01	01	17	17	0.199000
rg_1	2000	01	01	17	23	0.196000
rg_1	2000	01	01	17	29	0.194000
rg_1	2000	01	01	17	35	0.191000
rg_1	2000	01	01	17	41	0.189000
rg_1	2000	01	01	17	47	0.186000
rg_1	2000	01	01	17	53	0.184000
rg_1	2000	01	01	17	59	0.181000
rg_1	2000	01	01	18	05	0.179000
rg_1	2000	01	01	18	11	0.176000
rg_1	2000	01	01	18	17	0.174000
rg_1	2000	01	01	18	23	0.171000
rg_1	2000	01	01	18	29	0.169000
rg_1	2000	01	01	18	35	0.166000
rg_1	2000	01	01	18	41	0.164000
rg_1	2000	01	01	18	47	0.161000
rg_1	2000	01	01	18	54	0.159000
rg_1	2000	01	01	19	00	0.156000
rg_1	2000	01	01	19	06	0.154000
rg_1	2000	01	01	19	12	0.151000
rg_1	2000	01	01	19	18	0.149000
rg_1	2000	01	01	19	24	0.146000
rg_1	2000	01	01	19	30	0.144000
rg_1	2000	01	01	19	36	0.141000
rg_1	2000	01	01	19	42	0.139000
rg_1	2000	01	01	19	48	0.136000
